match_id,date,team1,team2,score1,score2,stage,stadium,city,group,attendance,obs
1,30-05-1962,Uruguay,Colombia,2,1,Group stage,Carlos Dittborn,Arica,1,7908,
2,30-05-1962,Chile,Switzerland,3,1,Group stage,Estadio Nacional,Santiago,2,65006,
3,30-05-1962,Brazil,Mexico,2,0,Group stage,Sausalito,Viña del Mar,3,10484,
4,30-05-1962,Argentina,Bulgaria,1,0,Group stage,El Teniente,Rancagua,4,7134,
5,31-05-1962,Soviet Union,Yugoslavia,2,0,Group stage,Carlos Dittborn,Arica,1,9622,
6,31-05-1962,West Germany,Italy,0,0,Group stage,Estadio Nacional,Santiago,2,65440,
7,31-05-1962,Czechoslovakia,Spain,1,0,Group stage,Sausalito,Viña del Mar,3,12700,
8,31-05-1962,Hungary,England,2,1,Group stage,El Teniente,Rancagua,4,7938,
9,02-06-1962,Yugoslavia,Uruguay,3,1,Group stage,Carlos Dittborn,Arica,1,8829,
10,02-06-1962,Chile,Italy,2,0,Group stage,Estadio Nacional,Santiago,2,66057,
11,02-06-1962,Brazil,Czechoslovakia,0,0,Group stage,Sausalito,Viña del Mar,3,14903,
12,02-06-1962,England,Argentina,3,1,Group stage,El Teniente,Rancagua,4,9794,
13,03-06-1962,Soviet Union,Colombia,4,4,Group stage,Carlos Dittborn,Arica,1,8040,
14,03-06-1962,West Germany,Switzerland,2,1,Group stage,Estadio Nacional,Santiago,2,64922,
15,03-06-1962,Spain,Mexico,1,0,Group stage,Sausalito,Viña del Mar,3,11875,
16,03-06-1962,Hungary,Bulgaria,6,1,Group stage,El Teniente,Rancagua,4,7442,
17,06-06-1962,Soviet Union,Uruguay,2,1,Group stage,Carlos Dittborn,Arica,1,9973,
18,06-06-1962,West Germany,Chile,2,0,Group stage,Estadio Nacional,Santiago,2,67224,
19,06-06-1962,Brazil,Spain,2,1,Group stage,Sausalito,Viña del Mar,3,18715,
20,06-06-1962,Hungary,Argentina,0,0,Group stage,El Teniente,Rancagua,4,7945,
21,07-06-1962,Yugoslavia,Colombia,5,0,Group stage,Carlos Dittborn,Arica,1,7167,
22,07-06-1962,Italy,Switzerland,3,0,Group stage,Estadio Nacional,Santiago,2,59828,
23,07-06-1962,Mexico,Czechoslovakia,3,1,Group stage,Sausalito,Viña del Mar,3,10648,
24,07-06-1962,England,Bulgaria,0,0,Group stage,El Teniente,Rancagua,4,5700,
25,10-06-1962,Chile,Soviet Union,2,1,Quarter-final,Carlos Dittborn,Arica,QF,17268,
26,10-06-1962,Czechoslovakia,Hungary,1,0,Quarter-final,El Teniente,Rancagua,QF,11690,
27,10-06-1962,Brazil,England,3,1,Quarter-final,Sausalito,Viña del Mar,QF,17736,
28,10-06-1962,Yugoslavia,West Germany,1,0,Quarter-final,Estadio Nacional,Santiago,QF,63324,
29,13-06-1962,Czechoslovakia,Yugoslavia,3,1,Semi-final,Sausalito,Viña del Mar,SF,5890,
30,13-06-1962,Brazil,Chile,4,2,Semi-final,Estadio Nacional,Santiago,SF,76594,
31,16-06-1962,Chile,Yugoslavia,1,0,Third-place Play-off,Estadio Nacional,Santiago,3rd,66697,
32,17-06-1962,Brazil,Czechoslovakia,3,1,Final,Estadio Nacional,Santiago,Final,68679,
