match_id,date,team1,team2,score1,score2,stage,stadium,city,group,attendance,obs
1,11-07-1966,England,Uruguay,0,0,Group stage,Wembley Stadium,London,1,87148,
2,12-07-1966,West Germany,Switzerland,5,0,Group stage,Hillsborough Stadium,Sheffield,2,36127,
3,12-07-1966,Brazil,Bulgaria,2,0,Group stage,Goodison Park,Liverpool,3,47308,
4,12-07-1966,Soviet Union,North Korea,3,0,Group stage,Ayresome Park,Middlesbrough,4,23006,
5,13-07-1966,France,Mexico,1,1,Group stage,Wembley Stadium,London,1,69237,
6,13-07-1966,Argentina,Spain,2,1,Group stage,Villa Park,Birmingham,2,42738,
7,13-07-1966,Portugal,Hungary,3,1,Group stage,Old Trafford,Manchester,3,29886,
8,13-07-1966,Italy,Chile,2,0,Group stage,Roker Park,Sunderland,4,27199,
9,15-07-1966,Uruguay,France,2,1,Group stage,White City Stadium,London,1,45662,
10,15-07-1966,Spain,Switzerland,2,1,Group stage,Hillsborough Stadium,Sheffield,2,32028,
11,15-07-1966,Hungary,Brazil,3,1,Group stage,Goodison Park,Liverpool,3,51387,
12,15-07-1966,Chile,North Korea,1,1,Group stage,Ayresome Park,Middlesbrough,4,13792,
13,16-07-1966,England,Mexico,2,0,Group stage,Wembley Stadium,London,1,92570,
14,16-07-1966,Argentina,West Germany,0,0,Group stage,Villa Park,Birmingham,2,46587,
15,16-07-1966,Portugal,Bulgaria,3,0,Group stage,Old Trafford,Manchester,3,25438,
16,16-07-1966,Soviet Union,Italy,1,0,Group stage,Roker Park,Sunderland,4,27793,
17,19-07-1966,Mexico,Uruguay,0,0,Group stage,Wembley Stadium,London,1,61112,
18,19-07-1966,Argentina,Switzerland,2,0,Group stage,Hillsborough Stadium,Sheffield,2,32127,
19,19-07-1966,Portugal,Brazil,3,1,Group stage,Goodison Park,Liverpool,3,58479,
20,19-07-1966,North Korea,Italy,1,0,Group stage,Ayresome Park,Middlesbrough,4,17829,
21,20-07-1966,England,France,2,0,Group stage,Wembley Stadium,London,1,98270,
22,20-07-1966,West Germany,Spain,2,1,Group stage,Villa Park,Birmingham,2,42187,
23,20-07-1966,Hungary,Bulgaria,3,1,Group stage,Old Trafford,Manchester,3,24129,
24,20-07-1966,Soviet Union,Chile,2,1,Group stage,Roker Park,Sunderland,4,16027,
25,23-07-1966,England,Argentina,1,0,Quarter-final,Wembley Stadium,London,QF,90584,
26,23-07-1966,West Germany,Uruguay,4,0,Quarter-final,Hillsborough Stadium,Sheffield,QF,40007,
27,23-07-1966,Soviet Union,Hungary,2,1,Quarter-final,Roker Park,Sunderland,QF,26844,
28,23-07-1966,Portugal,North Korea,5,3,Quarter-final,Goodison Park,Liverpool,QF,40248,
29,25-07-1966,West Germany,Soviet Union,2,1,Semi-final,Goodison Park,Liverpool,SF,38273,
30,26-07-1966,England,Portugal,2,1,Semi-final,Wembley Stadium,London,SF,94493,
31,28-07-1966,Portugal,Soviet Union,2,1,Third-place Play-off,Wembley Stadium,London,3rd,87696,
32,30-07-1966,England,West Germany,4,2,Final,Wembley Stadium,London,Final,96924,After Extra Time
