match_id,date,team1,team2,score1,score2,stage,stadium,city,group,attendance,obs
1,08-06-1958,Argentina,West Germany,1,3,Group stage,Malmo Stadion,Malmo,1,31156,
2,08-06-1958,Northern Ireland,Czechoslovakia,1,0,Group stage,Orjans Vall,Halmstad,1,10647,
3,11-06-1958,West Germany,Czechoslovakia,2,2,Group stage,Olympiastadion,Helsingborg,1,25000,
4,11-06-1958,Argentina,Northern Ireland,3,1,Group stage,Orjans Vall,Halmstad,1,14174,
5,15-06-1958,West Germany,Northern Ireland,2,2,Group stage,Malmo Stadion,Malmo,1,21990,
6,15-06-1958,Czechoslovakia,Argentina,6,1,Group stage,Olympiastadion,Helsingborg,1,16418,
7,17-06-1958,Northern Ireland,Czechoslovakia,2,1,Group stage,Malmo Stadion,Malmo,PO,6196,After Extra Time. Playoff second place Group 1
8,08-06-1958,France,Paraguay,7,3,Group stage,Idrottsparken,Norrkoping,2,16518,
9,08-06-1958,Yugoslavia,Scotland,1,1,Group stage,Arosvallen,Vasteras,2,9591,
10,11-06-1958,Yugoslavia,France,3,2,Group stage,Arosvallen,Vasteras,2,12217,
11,11-06-1958,Paraguay,Scotland,3,2,Group stage,Idrottsparken,Norrkoping,2,11665,
12,15-06-1958,France,Scotland,2,1,Group stage,Eyravallen,Orebro,2,13554,
13,15-06-1958,Paraguay,Yugoslavia,3,3,Group stage,Tunavallen,Eskistuna,2,13103,
14,08-06-1958,Sweden,Mexico,3,0,Group stage,Rasunda Stadium,Solna,3,34107,
15,08-06-1958,Hungary,Wales,1,1,Group stage,Jernvallen,Sandviken,3,15343,
16,11-06-1958,Mexico,Wales,1,1,Group stage,Rasunda Stadium,Solna,3,15150,
17,12-06-1958,Sweden,Hungary,2,1,Group stage,Rasunda Stadium,Solna,3,38850,
18,15-06-1958,Sweden,Wales,0,0,Group stage,Rasunda Stadium,Solna,3,30287,
19,15-06-1958,Hungary,Mexico,4,0,Group stage,Jernvallen,Sandviken,3,13300,
20,17-06-1958,Wales,Hungary,2,1,Group stage,Rasunda Stadium,Solna,PO,2823,Playoff second place Group 3
21,08-06-1958,Brazil,Austria,3,0,Group stage,Rimnersvallen,Uddevalla,4,17788,
22,08-06-1958,Soviet Union,England,2,2,Group stage,Ullevi,Gothenburg,4,49348,
23,11-06-1958,Brazil,England,0,0,Group stage,Ullevi,Gothenburg,4,40895,
24,11-06-1958,Soviet Union,Austria,2,0,Group stage,Ryavallen,Boras,4,21239,
25,15-06-1958,England,Austria,2,2,Group stage,Ryavallen,Boras,4,15872,
26,15-06-1958,Brazil,Soviet Union,2,0,Group stage,Ullevi,Gothenburg,4,50928,
27,17-06-1958,Soviet Union,England,1,0,Group stage,Ullevi,Gothenburg,PO,23182,Playoff second place Group 4
28,19-06-1958,Brazil,Wales,1,0,Quarter-final,Ullevi,Gothenburg,QF,25923,
29,19-06-1958,France,Northern Ireland,4,0,Quarter-final,Idrottsparken,Norrkoping,QF,11800,
30,19-06-1958,Sweden,Soviet Union,2,0,Quarter-final,Rasunda Stadium,Solna,QF,31900,
31,19-06-1958,West Germany,Yugoslavia,1,0,Quarter-final,Malmo Stadion,Malmo,QF,20055,
32,24-06-1958,Brazil,France,5,2,Semi-final,Rasunda Stadium,Solna,SF,27100,
33,24-06-1958,Sweden,West Germany,3,1,Semi-final,Ullevi,Gothenburg,SF,49471,
34,28-06-1958,France,West Germany,6,3,Third-place Play-off,Ullevi,Gothenburg,3rd,32483,
35,29-06-1958,Brazil,Sweden,5,2,Final,Rasunda Stadium,Solna,Final,49737,
