group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
A,Mexico,3,3,0,0,6,0,6,9
A,South Africa,3,1,1,1,2,3,-1,4
A,South Korea,3,1,0,2,2,3,-1,3
A,Czech Republic,3,0,1,2,2,6,-4,1
B,Switzerland,3,2,1,0,7,3,4,7
B,Canada,3,1,1,1,8,3,5,4
B,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4
B,Qatar,3,0,1,2,2,10,-8,1
C,Brazil,3,2,1,0,7,1,6,7
C,Morocco,3,2,1,0,6,3,3,7
C,Scotland,3,1,0,2,1,4,-3,3
C,Haiti,3,0,0,3,2,8,-6,0
D,United States,3,2,0,1,8,4,4,6
D,Australia,3,1,1,1,2,2,0,4
D,Paraguay,3,1,1,1,2,4,-2,4
D,Turkey,3,1,0,2,3,5,-2,3
E,Germany,3,2,0,1,10,4,6,6
E,Ivory Coast,3,2,0,1,4,2,2,6
E,Ecuador,3,1,1,1,2,2,0,4
E,Curacao,3,0,1,2,1,9,-8,1
F,Netherlands,3,2,1,0,10,4,6,7
F,Japan,3,1,2,0,7,3,4,5
F,Sweden,3,1,1,1,7,7,0,4
F,Tunisia,3,0,0,3,2,12,-10,0
G,Belgium,3,1,2,0,6,2,4,5
G,Egypt,3,1,2,0,3,5,2,5
G,Iran,3,0,3,0,3,3,0,3
G,New Zealand,3,0,1,2,4,10,-6,1
H,Spain,3,2,1,0,5,0,5,7
H,Cape Verde,3,0,3,0,2,2,0,3
H,Uruguay,3,0,2,1,3,4,-1,2
H,Saudi Arabia,3,0,2,1,1,5,-4,2
I,France,3,3,0,0,10,2,8,9
I,Norway,3,2,0,1,8,7,1,6
I,Senegal,3,1,0,2,8,6,2,3
I,Iraq,3,0,0,3,1,12,-11,0
J,Argentina,3,3,0,0,8,1,7,9
J,Austria,3,1,1,1,6,6,0,4
J,Algeria,3,1,1,1,5,7,-2,4
J,Jordan,3,0,0,3,3,8,-5,0
K,Colombia,3,2,1,0,4,1,3,7
K,Portugal,3,1,2,0,6,1,5,5
K,DR Congo,3,1,1,1,4,3,1,4
K,Uzbekistan,3,0,0,3,2,11,-9,0
L,England,3,2,1,0,6,2,4,7
L,Croatia,3,2,0,1,5,5,0,6
L,Ghana,3,1,1,1,2,2,0,4
L,Panama,3,0,0,3,0,4,-4,0
