match_id,date,team1,team2,score1,score2,stage,stadium,city,group,attendance,obs
1,11-06-2026,Mexico,South Africa,2,0,Group stage,Estadio Azteca,Ciudad de Mexico,A,80824,
2,11-06-2026,South Korea,Czech Republic,2,1,Group stage,Akron,Guadalajara,A,44985,
3,12-06-2026,Canada,Bosnia and Herzegovina,1,1,Group stage,BMO Field,Toronto,B,43002,
4,12-06-2026,United States,Paraguay,4,1,Group stage,SoFi Stadium,Los Angeles,D,70492,
5,13-06-2026,Qatar,Switzerland,1,1,Group stage,Levi's Stadium,San Francisco,B,67966,
6,13-06-2026,Brazil,Morocco,1,1,Group stage,MetLife Stadium,New Jersey,C,80663,
7,13-06-2026,Haiti,Scotland,0,1,Group stage,Gillette Stadium,Boston,C,64146,
8,13-06-2026,Australia,Turkey,2,0,Group stage,BC Place,Vancouver,D,52497,
9,14-06-2026,Germany,Curacao,7,1,Group stage,NRG Stadium,Houston,E,68021,
10,14-06-2026,Ivory Coast,Ecuador,1,0,Group stage,Lincoln Financial Field,Philadelphia,E,68274,
11,14-06-2026,Netherlands,Japan,2,2,Group stage,AT&T Stadium,Dallas,F,69285,
12,14-06-2026,Sweden,Tunisia,5,1,Group stage,Estadio BBVA,Monterrey,F,50987,
13,15-06-2026,Belgium,Egypt,1,1,Group stage,Lumen Field,Seattle,G,66775,
14,15-06-2026,Iran,New Zealand,2,2,Group stage,SoFi Stadium,Los Angeles,G,70108,
15,15-06-2026,Spain,Cape Verde,0,0,Group stage,Mercedes-Benz Stadium,Atlanta,H,67640,
16,15-06-2026,Saudi Arabia,Uruguay,1,1,Group stage,Hard Rock Stadium,Miami,H,62764,
17,16-06-2026,France,Senegal,3,1,Group stage,MetLife Stadium,New Jersey,I,80545,
18,16-06-2026,Iraq,Norway,1,4,Group stage,Gillette Stadium,Boston,I,63106,
19,16-06-2026,Argentina,Algeria,3,0,Group stage,Arrowhead Stadium,Kansas City,J,69045,
20,16-06-2026,Austria,Jordan,3,1,Group stage,Levi's Stadium,San Francisco,J,68527,
21,17-06-2026,Portugal,DR Congo,1,1,Group stage,NRG Stadium,Houston,K,68777,
22,17-06-2026,Uzbekistan,Colombia,1,3,Group stage,Estadio Azteca,Ciudad de Mexico,K,80824,
23,17-06-2026,England,Croatia,4,2,Group stage,AT&T Stadium,Dallas,L,70389,
24,17-06-2026,Ghana,Panama,1,0,Group stage,BMO Field,Toronto,L,42942,
25,18-06-2026,Czech Republic,South Africa,1,1,Group stage,Mercedes-Benz Stadium,Atlanta,A,67442,
26,18-06-2026,Mexico,South Korea,1,0,Group stage,Akron,Guadalajara,A,45522,
27,18-06-2026,Switzerland,Bosnia and Herzegovina,4,1,Group stage,SoFi Stadium,Los Angeles,B,70026,
28,18-06-2026,Canada,Qatar,6,0,Group stage,BC Place,Vancouver,B,52497,
29,19-06-2026,Scotland,Morocco,0,1,Group stage,Gillette Stadium,Boston,C,64146,
30,19-06-2026,Brazil,Haiti,3,0,Group stage,Lincoln Financial Field,Philadelphia,C,68324,
31,19-06-2026,United States,Australia,2,0,Group stage,Lumen Field,Seattle,D,66925,
32,19-06-2026,Turkey,Paraguay,0,1,Group stage,Levi's Stadium,San Francisco,D,68827,
33,20-06-2026,Germany,Ivory Coast,2,1,Group stage,BMO Field,Toronto,E,43036,
34,20-06-2026,Ecuador,Curacao,0,0,Group stage,Arrowhead Stadium,Kansas City,E,68598,
35,20-06-2026,Netherlands,Sweden,5,1,Group stage,NRG Stadium,Houston,F,68777,
36,20-06-2026,Tunisia,Japan,0,4,Group stage,Estadio BBVA,Monterrey,F,51243,
37,21-06-2026,Belgium,Iran,0,0,Group stage,SoFi Stadium,Los Angeles,G,70317,
38,21-06-2026,New Zealand,Egypt,1,3,Group stage,BC Place,Vancouver,G,52497,
39,21-06-2026,Spain,Saudi Arabia,4,0,Group stage,Mercedes-Benz Stadium,Atlanta,H,68239,
40,21-06-2026,Uruguay,Cape Verde,2,2,Group stage,Hard Rock Stadium,Miami,H,64003,
41,22-06-2026,France,Iraq,3,0,Group stage,Lincoln Financial Field,Philadelphia,I,68324,
42,22-06-2026,Norway,Senegal,3,2,Group stage,MetLife Stadium,New Jersey,I,80663,
43,22-06-2026,Argentina,Austria,2,0,Group stage,AT&T Stadium,Dallas,J,70649,
44,22-06-2026,Jordan,Algeria,1,2,Group stage,Levi's Stadium,San Francisco,J,68371,
45,23-06-2026,Portugal,Uzbekistan,5,0,Group stage,NRG Stadium,Houston,K,68777,
46,23-06-2026,Colombia,DR Congo,1,0,Group stage,Akron,Guadalajara,K,45358,
47,23-06-2026,England,Ghana,0,0,Group stage,Gillette Stadium,Boston,L,63983,
48,23-06-2026,Panama,Croatia,0,1,Group stage,BMO Field,Toronto,L,43036,
49,24-06-2026,Czech Republic,Mexico,0,3,Group stage,Estadio Azteca,Ciudad de Mexico,A,80824,
50,24-06-2026,Mexico,South Korea,1,0,Group stage,Estadio BBVA,Monterrey,A,51243,
51,24-06-2026,Switzerland,Canada,2,1,Group stage,BC Place,Vancouver,B,52497,
52,24-06-2026,Bosnia and Herzegovina,Qatar,3,1,Group stage,Lumen Field,Seattle,B,66925,
53,24-06-2026,Scotland,Brazil,0,3,Group stage,Hard Rock Stadium,Miami,C,64478,
54,24-06-2026,Morocco,Haiti,4,2,Group stage,Mercedes-Benz Stadium,Atlanta,C,68239,
55,25-06-2026,Turkey,United States,3,2,Group stage,SoFi Stadium,Los Angeles,D,70492,
56,25-06-2026,Paraguay,Australia,0,0,Group stage,Levi's Stadium,San Francisco,D,68827,
57,25-06-2026,Curacao,Ivory Coast,0,2,Group stage,Lincoln Financial Field,Philadelphia,E,68324,
58,25-06-2026,Ecuador,Germany,2,1,Group stage,MetLife Stadium,New Jersey,E,80663,
59,25-06-2026,Japan,Sweden,1,1,Group stage,AT&T Stadium,Dallas,F,70137,
60,25-06-2026,Tunisia,Netherlands,1,3,Group stage,Arrowhead Stadium,Kansas City,F,68391,
61,26-06-2026,Egypt,Iran,1,1,Group stage,Lumen Field,Seattle,G,66925,
62,26-06-2026,New Zealand,Belgium,1,5,Group stage,BC Place,Vancouver,G,52497,
63,26-06-2026,Cape Verde,Saudi Arabia,0,0,Group stage,NRG Stadium,Houston,H,68278,
64,26-06-2026,Uruguay,Spain,0,1,Group stage,Akron,Guadalajara,H,45065,
65,26-06-2026,Norway,France,1,4,Group stage,Gillette Stadium,Boston,I,64146,
66,26-06-2026,Senegal,Iraq,5,0,Group stage,BMO Field,Toronto,I,43036,
67,27-06-2026,Algeria,Austria,3,3,Group stage,Arrowhead Stadium,Kansas City,J,69045,
68,27-06-2026,Jordan,Argentina,1,3,Group stage,AT&T Stadium,Dallas,J,70649,
69,27-06-2026,Colombia,Portugal,0,0,Group stage,Hard Rock Stadium,Miami,K,64478,
70,27-06-2026,DR Congo,Uzbekistan,3,1,Group stage,Mercedes-Benz Stadium,Atlanta,K,68239,
71,27-06-2026,Panama,England,0,2,Group stage,MetLife Stadium,New Jersey,L,80663,
72,27-06-2026,Croatia,Ghana,2,1,Group stage,Lincoln Financial Field,Philadelphia,L,68324,
73,28-06-2026,South Africa,Canada,0,1,Round of 32,SoFi Stadium,Los Angeles,R32,69237,
