match_id,date,team1,team2,score1,score2,stage,stadium,city,group,attendance,obs
1,01-06-1978,West Germany,Poland,0,0,First Group Stage,Monumental,Buenos Aires,2,67579,
2,02-06-1978,Italy,France,2,1,First Group Stage,Jose Maria Minella,Mar del Plata,1,38100,
3,02-06-1978,Argentina,Hungary,2,1,First Group Stage,Monumental,Buenos Aires,1,71615,
4,02-06-1978,Tunisia,Mexico,3,1,First Group Stage,Gigante de Arroyito,Rosario,2,17396,
5,03-06-1978,Austria,Spain,2,1,First Group Stage,Jose Amalfitani,Buenos Aires,3,40841,
6,03-06-1978,Brazil,Sweden,1,1,First Group Stage,Jose Maria Minella,Mar del Plata,3,32569,
7,03-06-1978,Peru,Scotland,3,1,First Group Stage,Olimpico de Cordoba,Cordoba,4,37927,
8,03-06-1978,Netherlands,Iran,3,0,First Group Stage,Ciudad de Mendoza,Mendoza,4,33431,
9,06-06-1978,Italy,Hungary,3,1,First Group Stage,Jose Maria Minella,Mar del Plata,1,26533,
10,06-06-1978,Argentina,France,2,1,First Group Stage,Monumental,Buenos Aires,1,71666,
11,06-06-1978,West Germany,Mexico,6,0,First Group Stage,Olimpico de Cordoba,Cordoba,2,35258,
12,06-06-1978,Poland,Tunisia,1,0,First Group Stage,Gigante de Arroyito,Rosario,2,9624,
13,07-06-1978,Austria,Sweden,1,0,First Group Stage,Jose Amalfitani,Buenos Aires,3,41424,
14,07-06-1978,Brazil,Spain,0,0,First Group Stage,Jose Maria Minella,Mar del Plata,3,34771,
15,07-06-1978,Scotland,Iran,1,1,First Group Stage,Olimpico de Cordoba,Cordoba,4,7938,
16,07-06-1978,Netherlands,Peru,0,0,First Group Stage,Ciudad de Mendoza,Mendoza,4,28125,
17,10-06-1978,France,Hungary,3,1,First Group Stage,Jose Maria Minella,Mar del Plata,1,23127,
18,10-06-1978,Argentina,Italy,0,1,First Group Stage,Monumental,Buenos Aires,1,71712,
19,10-06-1978,West Germany,Tunisia,0,0,First Group Stage,Olimpico de Cordoba,Cordoba,2,30667,
20,10-06-1978,Poland,Mexico,3,1,First Group Stage,Gigante de Arroyito,Rosario,2,22651,
21,11-06-1978,Spain,Sweden,1,0,First Group Stage,Jose Amalfitani,Buenos Aires,3,42132,
22,11-06-1978,Brazil,Austria,1,0,First Group Stage,Jose Maria Minella,Mar del Plata,3,35221,
23,11-06-1978,Peru,Iran,4,1,First Group Stage,Olimpico de Cordoba,Cordoba,4,21262,
24,11-06-1978,Scotland,Netherlands,3,2,First Group Stage,Ciudad de Mendoza,Mendoza,4,35130,
25,14-06-1978,Austria,Netherlands,1,5,Second Group Stage,Olimpico de Cordoba,Cordoba,A,25050,
26,14-06-1978,Italy,West Germany,0,0,Second Group Stage,Monumental,Buenos Aires,A,67547,
27,14-06-1978,Brazil,Peru,3,0,Second Group Stage,Ciudad de Mendoza,Mendoza,B,31278,
28,14-06-1978,Argentina,Poland,2,0,Second Group Stage,Gigante de Arroyito,Rosario,B,37091,
29,18-06-1978,Netherlands,West Germany,2,2,Second Group Stage,Olimpico de Cordoba,Cordoba,A,40750,
30,18-06-1978,Italy,Austria,1,0,Second Group Stage,Monumental,Buenos Aires,A,66695,
31,18-06-1978,Peru,Poland,0,1,Second Group Stage,Ciudad de Mendoza,Mendoza,B,35288,
32,18-06-1978,Argentina,Brazil,0,0,Second Group Stage,Gigante de Arroyito,Rosario,B,37326,
33,21-06-1978,Austria,West Germany,3,2,Second Group Stage,Olimpico de Cordoba,Cordoba,A,38318,
34,21-06-1978,Italy,Netherlands,1,2,Second Group Stage,Monumental,Buenos Aires,A,67433,
35,21-06-1978,Brazil,Poland,3,1,Second Group Stage,Ciudad de Mendoza,Mendoza,B,39586,
36,21-06-1978,Argentina,Peru,6,0,Second Group Stage,Gigante de Arroyito,Rosario,B,37315,
37,24-06-1978,Brazil,Italy,2,1,Third Place Play-off,Monumental,Buenos Aires,3rd,69659,
38,25-06-1978,Argentina,Netherlands,3,1,Final,Monumental,Buenos Aires,Final,71483,
