match_id,date,team1,team2,score1,score2,stage,stadium,city,group,attendance,obs
1,2010-06-11,South Africa,Mexico,1,1,Group Stage,Soccer City,Johannesburg,A,84490,
2,2010-06-11,Uruguay,France,0,0,Group Stage,Cape Town Stadium,Cape Town,A,64100,
3,2010-06-12,South Korea,Greece,2,0,Group Stage,Port Elizabeth Stadium,Port Elizabeth,B,31213,
4,2010-06-12,Argentina,Nigeria,1,0,Group Stage,Ellis Park Stadium,Johannesburg,B,55341,
5,2010-06-12,England,United States,1,1,Group Stage,Royal Bafokeng Stadium,Rustenburg,C,38551,
6,2010-06-13,Algeria,Slovenia,0,1,Group Stage,Peter Mokaba Stadium,Polokwane,C,30513,
7,2010-06-13,Serbia,Ghana,0,1,Group Stage,Loftus Versfeld Stadium,Pretoria,D,37387,
8,2010-06-13,Germany,Australia,4,0,Group Stage,Moses Mabhida Stadium,Durban,D,62213,
9,2010-06-14,Netherlands,Denmark,2,0,Group Stage,Soccer City,Johannesburg,E,83000,
10,2010-06-14,Japan,Cameroon,1,0,Group Stage,Free State Stadium,Bloemfontein,E,31600,
11,2010-06-15,Italy,Paraguay,1,1,Group Stage,Green Point Stadium,Cape Town,F,62669,
12,2010-06-15,New Zealand,Slovakia,1,1,Group Stage,Royal Bafokeng Stadium,Rustenburg,F,23871,
13,2010-06-15,Ivory Coast,Portugal,0,0,Group Stage,Nelson Mandela Bay Stadium,Port Elizabeth,G,37386,
14,2010-06-15,Brazil,North Korea,2,1,Group Stage,Ellis Park Stadium,Johannesburg,G,54600,
15,2010-06-16,Honduras,Chile,0,1,Group Stage,Mbombela Stadium,Nelspruit,H,32312,
16,2010-06-16,Spain,Switzerland,0,1,Group Stage,Moses Mabhida Stadium,Durban,H,62268,
17,2010-06-16,South Africa,Uruguay,0,3,Group Stage,Loftus Versfeld Stadium,Pretoria,A,42658,
18,2010-06-17,Argentina,South Korea,4,1,Group Stage,Soccer City,Johannesburg,B,82474,
19,2010-06-17,Greece,Nigeria,2,1,Group Stage,Free State Stadium,Bloemfontein,B,31189,
20,2010-06-17,France,Mexico,0,2,Group Stage,Peter Mokaba Stadium,Polokwane,A,35170,
21,2010-06-18,Germany,Serbia,0,1,Group Stage,Nelson Mandela Bay Stadium,Port Elizabeth,D,38294,
22,2010-06-18,Slovenia,United States,2,2,Group Stage,Ellis Park Stadium,Johannesburg,C,45373,
23,2010-06-18,England,Algeria,0,0,Group Stage,Green Point Stadium,Cape Town,C,64100,
24,2010-06-19,Netherlands,Japan,1,0,Group Stage,Moses Mabhida Stadium,Durban,E,62251,
