match_id,date,team1,team2,score1,score2,stage,stadium,city,group,attendance,obs
1,08-06-1990,Argentina,Cameroon,0,1,Group Stage,Stadio Giuseppe Meazza,Milano,B,73780,
2,09-06-1990,Italy,Austria,1,0,Group Stage,Stadio Olimpico,Roma,A,73303,
3,09-06-1990,Soviet Union,Romania,0,2,Group Stage,Stadio San Nicola,Bari,B,42907,
4,09-06-1990,United Arab Emirates,Colombia,0,2,Group Stage,Stadio Renato Dall'Ara,Bologna,D,30791,
5,10-06-1990,USA,Czescholovakia,1,5,Group Stage,Stadio Artemio Franchi,Firenze,A,33266,
6,10-06-1990,Brazil,Sweden,2,1,Group Stage,Stadio delle Alpi,Turin,C,62628,
7,10-06-1990,West Germany,Yugoslavia,4,1,Group Stage,Stadio Giuseppe Meazza,Milano,D,74765,
8,11-06-1990,Costa Rica,Scotland,1,0,Group Stage,Stadio Luigi Ferraris,Genova,C,30867,
9,11-06-1990,England,Republic of Ireland,1,1,Group Stage,Stadio Sant'Elia,Cagliari,F,35238,
10,12-06-1990,Belgium,South Korea,2,0,Group Stage,Stadio Marcantonio Bentegodi,Verona,E,32790,
11,12-06-1990,Netherlands,Egypt,1,1,Group Stage,Stadio La Favorita,Palermo,F,33288,
12,13-06-1990,Uruguay,Spain,0,0,Group Stage,Stadio Friuli,Udine,E,35713,
13,13-06-1990,Argentina,Soviet Union,2,0,Group Stage,Stadio San Paoli,Napoli,B,55759,
14,14-06-1990,Cameroon,Romania,2,1,Group Stage,Stadio San Nicola,Bari,B,38687,
15,14-06-1990,Italy,USA,1,0,Group Stage,Stadio Olimpico,Roma,A,73423,
16,14-06-1990,Yugoslavia,Colombia,1,0,Group Stage,Stadio Renato Dall'Ara,Bologna,D,32257,
17,15-06-1990,West Germany,United Arab Emirates,5,1,Group Stage,Stadio Giuseppe Meazza,Milano,D,71169,
18,15-06-1990,Austria,Czescholovakia,0,1,Group Stage,Stadio Artemio Franchi,Firenze,A,38962,
19,16-06-1990,Brazil,Costa Rica,1,0,Group Stage,Stadio delle Alpi,Turin,C,58007,
20,16-06-1990,Sweden,Scotland,1,2,Group Stage,Stadio Luigi Ferraris,Genova,C,31823,
