group,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points
A,Brazil,3,2,1,0,7,2,5,7
A,Mexico,3,2,1,0,4,1,3,7
A,Croatia,3,1,0,2,6,6,0,3
A,Cameroon,3,0,0,3,1,9,-8,0
B,Netherlands,3,3,0,0,10,3,7,9
B,Chile,3,2,0,1,5,3,2,6
B,Spain,3,1,0,2,4,7,-3,3
B,Australia,3,0,0,3,3,9,-6,0
C,Colombia,3,3,0,0,9,2,7,9
C,Greece,3,1,1,1,2,4,-2,4
C,Ivory Coast,3,1,0,2,4,5,-1,3
C,Japan,3,0,1,2,2,6,-4,1
D,Costa Rica,3,2,1,0,4,1,3,7
D,Uruguay,3,2,0,1,4,4,0,6
D,Italy,3,1,0,2,2,3,-1,3
D,England,3,0,1,2,2,4,-2,1
E,France,3,2,1,0,8,2,6,7
E,Switzerland,3,2,0,1,7,6,1,6
E,Ecuador,3,1,1,1,3,3,0,4
E,Honduras,3,0,0,3,1,8,-7,0
F,Argentina,3,3,0,0,6,3,3,9
F,Nigeria,3,1,1,1,3,3,0,4
F,Bosnia and Herzegovina,3,1,0,2,4,4,0,3
F,Iran,3,0,1,2,1,4,-3,1
G,Germany,3,2,1,0,7,2,5,7
G,United States,3,1,1,1,4,4,0,4
G,Portugal,3,1,1,1,4,7,-3,4
G,Ghana,3,0,1,2,4,6,-2,1
H,Belgium,3,3,0,0,4,1,3,9
H,Algeria,3,1,1,1,6,5,1,4
H,Russia,3,0,2,1,2,3,-1,2
H,South Korea,3,0,1,2,3,6,-3,1
