match_id,date,team1,team2,score1,score2,stage,stadium,city,group,attendance,obs
1,24-06-1950,Brazil,Mexico,4,0,Group stage,Maracana,Rio de Janeiro,1,81649,
2,25-06-1950,Yugoslavia,Switzerland,3,0,Group stage,Independencia,Belo Horizonte,1,7336,
3,28-06-1950,Brazil,Switzerland,2,2,Group stage,Pacaembu,Sao Paulo,1,42032,
4,28-06-1950,Yugoslavia,Mexico,4,1,Group stage,Estadio dos Eucaliptos,Porto Alegre,1,11078,
5,01-07-1950,Brazil,Yugoslavia,2,0,Group stage,Maracana,Rio de Janeiro,1,142429,
6,02-07-1950,Switzerland,Mexico,2,1,Group stage,Estadio dos Eucaliptos,Porto Alegre,1,3580,
7,25-06-1950,England,Chile,2,0,Group stage,Maracana,Rio de Janeiro,2,29703,
8,25-06-1950,Spain,United States,3,1,Group stage,Durival de Britto,Curitiba,2,9511,
9,29-06-1950,Spain,Chile,2,0,Group stage,Maracana,Rio de Janeiro,2,19790,
10,29-06-1950,United States,England,1,0,Group stage,Independencia,Belo Horizonte,2,10151,
11,02-07-1950,Spain,England,1,0,Group stage,Maracana,Rio de Janeiro,2,74462,
12,02-07-1950,Chile,United States,5,2,Group stage,Ilha do Retiro,Recife,2,8501,
13,25-06-1950,Sweden,Italy,3,2,Group stage,Pacaembu,Sao Paulo,3,36502,
14,29-06-1950,Sweden,Paraguay,2,2,Group stage,Durival de Britto,Curitiba,3,7903,
15,02-07-1950,Italy,Paraguay,2,0,Group stage,Pacaembu,Sao Paulo,3,25811,
16,02-07-1950,Uruguay,Bolivia,8,0,Group stage,Independencia,Belo Horizonte,4,5284,
17,09-07-1950,Uruguay,Spain,2,2,Final Four,Pacaembu,Sao Paulo,FF,44802,
18,09-07-1950,Brazil,Sweden,7,1,Final Four,Maracana,Rio de Janeiro,FF,138886,
19,13-07-1950,Brazil,Spain,6,1,Final Four,Maracana,Rio de Janeiro,FF,152772,
20,13-07-1950,Uruguay,Sweden,3,2,Final Four,Pacaembu,Sao Paulo,FF,7987,
21,16-07-1950,Sweden,Spain,3,1,Final Four,Pacaembu,Sao Paulo,FF,11227,
22,16-07-1950,Uruguay,Brazil,2,1,Final Four,Maracana,Rio de Janeiro,FF,173850,
